id,vendor_inco_term,shipment_mode,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date
86142,N/A - From RDC,Air,N/A - From RDC,30-Jan-15,18-Feb-15,23-Feb-15
86143,N/A - From RDC,Air Charter,N/A - From RDC,31-Oct-14,30-Oct-14,3-Nov-14
86144,N/A - From RDC,Air,N/A - From RDC,20-Nov-14,20-Nov-14,24-Nov-14
86147,N/A - From RDC,Truck,N/A - From RDC,28-Nov-14,2-Dec-14,8-Dec-14
86148,N/A - From RDC,Air,N/A - From RDC,30-Jan-15,5-Jan-15,9-Jan-15
86151,N/A - From RDC,Truck,N/A - From RDC,16-Feb-15,24-Jan-15,3-Feb-15
86154,N/A - From RDC,Truck,N/A - From RDC,15-Jun-15,16-Jan-15,26-Jan-15
86155,N/A - From RDC,Truck,N/A - From RDC,30-Jan-15,16-Jan-15,19-Jan-15
86156,N/A - From RDC,Truck,N/A - From RDC,30-Jan-15,12-Jan-15,21-Jan-15
86158,N/A - From RDC,Truck,N/A - From RDC,30-Jan-15,11-Feb-15,16-Feb-15
86159,N/A - From RDC,Truck,N/A - From RDC,27-Feb-15,3-Mar-15,9-Mar-15
86161,N/A - From RDC,Truck,N/A - From RDC,25-Feb-15,12-Mar-15,13-Mar-15
86162,N/A - From RDC,Truck,N/A - From RDC,27-Feb-15,24-Feb-15,24-Feb-15
86163,N/A - From RDC,Truck,N/A - From RDC,27-Feb-15,19-Feb-15,20-Feb-15
86164,N/A - From RDC,Air Charter,N/A - From RDC,28-Feb-15,5-Feb-15,10-Feb-15
86167,N/A - From RDC,Truck,N/A - From RDC,27-Feb-15,11-Mar-15,30-Mar-15
86168,N/A - From RDC,Truck,N/A - From RDC,27-Feb-15,25-Feb-15,30-Mar-15
86170,N/A - From RDC,Truck,N/A - From RDC,30-Jun-15,10-Apr-15,20-Apr-15
86171,N/A - From RDC,Truck,N/A - From RDC,27-Feb-15,25-Mar-15,26-Mar-15
86172,N/A - From RDC,Truck,N/A - From RDC,7-Mar-15,17-Mar-15,18-Mar-15
86173,N/A - From RDC,Truck,N/A - From RDC,16-Mar-15,17-Mar-15,19-Mar-15
86174,N/A - From RDC,Air,N/A - From RDC,27-Feb-15,28-Feb-15,5-Mar-15
86179,N/A - From RDC,Air Charter,N/A - From RDC,2-Mar-15,10-Mar-15,17-Mar-15
86181,N/A - From RDC,Air,N/A - From RDC,31-Mar-15,24-Apr-15,29-Apr-15
86183,N/A - From RDC,Truck,N/A - From RDC,1-May-15,10-Apr-15,20-Apr-15
86185,N/A - From RDC,Air,N/A - From RDC,6-May-15,6-Jul-15,6-Jul-15
86186,N/A - From RDC,Air,N/A - From RDC,16-Jun-15,25-May-15,15-Jun-15
86187,N/A - From RDC,Air,N/A - From RDC,1-Jul-15,13-Jul-15,13-Jul-15
86188,N/A - From RDC,Truck,N/A - From RDC,30-Apr-15,22-Apr-15,24-Apr-15
86189,N/A - From RDC,Truck,N/A - From RDC,15-Jun-15,14-May-15,15-May-15
86192,N/A - From RDC,Air Charter,N/A - From RDC,30-Apr-15,15-Apr-15,20-Apr-15
86193,N/A - From RDC,Truck,N/A - From RDC,30-Jun-15,5-May-15,6-May-15
86195,N/A - From RDC,Air Charter,N/A - From RDC,30-Apr-15,15-Apr-15,20-Apr-15
